CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-116,2017,3,0,0.0,,,,Low
M-116,2018,3,0,0.0,7310.5,2668332.5,0.0,Low
M-116,2019,1,0,0.0,7194.0,2625810.0,0.0,Low
M-116,2020,1,0,0.0,,,,Low
M-116,2021,5,0,0.0,6385.0,2330525.0,0.0,Low
M-116,2022,3,0,0.0,7389.5,2697167.5,0.0,Low
M-116,2023,5,0,0.0,7179.5,2620517.5,0.0,Low
M-116,2024,3,0,0.0,8160.5,2978582.5,0.0,Low
M-117,2016,8,1,12.5,,,,Medium
M-117,2017,10,0,0.0,,,,Low
M-117,2018,8,0,0.0,10866.0,3966090.0,0.0,Low
M-117,2019,6,0,0.0,11247.0,4105155.0,0.0,Low
M-117,2021,5,0,0.0,10218.0,3729570.0,0.0,Low
M-117,2022,4,0,0.0,10454.0,3815710.0,0.0,Low
M-117,2023,3,0,0.0,10976.0,4006240.0,0.0,Low
M-117,2024,3,0,0.0,10887.0,3973755.0,0.0,Low
M-118,2016,1,0,0.0,,,,Low
M-118,2017,8,0,0.0,,,,Low
M-118,2019,2,0,0.0,3857.0,1407805.0,0.0,Low
M-118,2020,2,0,0.0,,,,Low
M-118,2021,2,0,0.0,3659.0,1335535.0,0.0,Low
M-118,2022,3,0,0.0,6183.0,2256795.0,0.0,Low
M-118,2023,2,0,0.0,3500.5,1277682.5,0.0,Low
M-118,2024,4,0,0.0,3698.5,1349952.5,0.0,Low
M-119,2016,12,0,0.0,,,,Low
M-119,2017,7,0,0.0,,,,Low
M-119,2018,10,0,0.0,12258.0,4474170.0,0.0,Low
M-119,2019,14,0,0.0,12324.0,4498260.0,0.0,Low
M-119,2020,19,0,0.0,,,,Low
M-119,2021,13,0,0.0,12173.5,4443327.5,0.0,Low
M-119,2022,10,0,0.0,14218.0,5189570.0,0.0,Low
M-119,2023,15,0,0.0,13327.5,4864537.5,0.0,Low
M-119,2024,4,0,0.0,14921.0,5446165.0,0.0,Low
M-12,2016,10,1,10.0,,,,Medium
M-12,2017,6,0,0.0,,,,Low
M-12,2018,8,0,0.0,,,,Low
M-12,2019,6,0,0.0,,,,Low
M-12,2020,3,0,0.0,,,,Low
M-12,2021,5,0,0.0,,,,Low
M-12,2022,8,0,0.0,,,,Low
M-12,2023,8,0,0.0,,,,Low
M-12,2024,4,0,0.0,,,,Low
M-120,2017,1,0,0.0,,,,Low
M-120,2018,1,0,0.0,1709.0,623785.0,0.0,Low
M-120,2021,1,0,0.0,2162.5,789312.5,0.0,Low
M-120,2022,3,0,0.0,2192.5,800262.5,0.0,Low
M-120,2024,1,0,0.0,2367.5,864137.5,0.0,Low
M-121,2016,4,1,25.0,,,,High
M-121,2017,15,0,0.0,,,,Low
M-121,2018,8,1,12.5,8943.5,3264377.5,30.633711940484826,Medium
M-121,2019,11,0,0.0,9104.5,3323142.5,0.0,Low
M-121,2020,7,0,0.0,,,,Low
M-121,2021,6,0,0.0,8614.5,3144292.5,0.0,Low
M-121,2022,12,1,8.3333,8676.0,3166740.0,31.578216083417015,Medium
M-121,2023,16,0,0.0,9067.0,3309455.0,0.0,Low
M-121,2024,3,0,0.0,9475.5,3458557.5,0.0,Low
M-122,2017,3,0,0.0,,,,Low
M-122,2018,1,0,0.0,777.0,283605.0,0.0,Low
M-122,2022,1,0,0.0,1239.5,452417.5,0.0,Low
M-122,2023,2,0,0.0,1298.5,473952.5,0.0,Low
M-122,2024,2,0,0.0,1310.0,478150.0,0.0,Low
M-123,2016,10,0,0.0,,,,Low
M-123,2017,4,0,0.0,,,,Low
M-123,2018,4,2,50.0,4704.0,1716960.0,116.48495014444134,High
M-123,2019,6,0,0.0,4735.0,1728275.0,0.0,Low
M-123,2020,7,0,0.0,,,,Low
M-123,2021,7,0,0.0,4570.5,1668232.5,0.0,Low
M-123,2022,3,0,0.0,4691.0,1712215.0,0.0,Low
M-123,2023,4,0,0.0,4453.0,1625345.0,0.0,Low
M-123,2024,6,0,0.0,4951.5,1807297.5,0.0,Low
M-124,2016,2,0,0.0,,,,Low
M-124,2021,1,0,0.0,713.0,260245.0,0.0,Low
M-124,2022,1,0,0.0,496.0,181040.0,0.0,Low
