COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
28041,2022,9,0,0.0
28041,2023,6,0,0.0
28041,2024,4,0,0.0
28043,2016,5,0,0.0
28043,2017,14,0,0.0
28043,2018,11,1,9.0909
28043,2019,14,0,0.0
28043,2020,15,0,0.0
28043,2021,17,0,0.0
28043,2022,18,0,0.0
28043,2023,11,0,0.0
28043,2024,14,0,0.0
28044,2016,7,0,0.0
28044,2017,4,1,25.0
28044,2018,4,0,0.0
28044,2019,4,0,0.0
28044,2020,4,0,0.0
28044,2021,6,0,0.0
28044,2022,6,0,0.0
28044,2023,3,0,0.0
28044,2024,9,0,0.0
28045,2016,52,1,1.9231
28045,2017,36,0,0.0
28045,2018,42,0,0.0
28045,2019,55,0,0.0
28045,2020,26,0,0.0
28045,2021,25,0,0.0
28045,2022,32,0,0.0
28045,2023,37,1,2.7027
28045,2024,32,0,0.0
28046,2016,4,0,0.0
28046,2017,6,0,0.0
28046,2018,10,0,0.0
28046,2019,8,0,0.0
28046,2020,6,0,0.0
28046,2021,4,0,0.0
28046,2022,7,0,0.0
28046,2023,6,0,0.0
28046,2024,2,0,0.0
28047,2016,28,0,0.0
28047,2017,28,0,0.0
28047,2018,29,0,0.0
28047,2019,29,0,0.0
28047,2020,20,1,5.0
28047,2021,19,0,0.0
28047,2022,23,0,0.0
28047,2023,15,0,0.0
28047,2024,15,0,0.0
28049,2016,8,0,0.0
28049,2017,9,0,0.0
28049,2018,21,0,0.0
28049,2019,32,0,0.0
28049,2020,4,0,0.0
28049,2021,9,0,0.0
28049,2022,4,0,0.0
28049,2023,14,0,0.0
28049,2024,4,0,0.0
28050,2017,2,0,0.0
28050,2018,5,0,0.0
28050,2019,0,0,
28050,2020,0,0,
28050,2021,2,0,0.0
28050,2022,3,0,0.0
28050,2023,6,0,0.0
28050,2024,2,0,0.0
28052,2016,9,0,0.0
28052,2017,8,0,0.0
28052,2018,6,0,0.0
28052,2019,14,0,0.0
28052,2020,7,0,0.0
28052,2021,13,0,0.0
28052,2022,9,0,0.0
28052,2023,14,1,7.1429
28052,2024,5,0,0.0
28053,2016,2,0,0.0
28053,2017,15,0,0.0
28053,2018,3,0,0.0
28053,2019,10,0,0.0
28053,2020,8,1,12.5
28053,2021,7,0,0.0
28053,2022,9,0,0.0
28053,2023,2,0,0.0
28053,2024,3,0,0.0
28054,2016,20,0,0.0
28054,2017,12,0,0.0
28054,2018,13,0,0.0
28054,2019,20,0,0.0
28054,2020,10,0,0.0
28054,2021,6,0,0.0
28054,2022,6,0,0.0
28054,2023,4,0,0.0
28054,2024,6,0,0.0
28058,2016,133,0,0.0
28058,2017,101,1,0.9901
28058,2018,89,0,0.0
28058,2019,101,0,0.0
28058,2020,54,0,0.0
28058,2021,68,1,1.4706
28058,2022,78,0,0.0
28058,2023,101,1,0.9901
28058,2024,77,0,0.0
28059,2016,12,0,0.0
28059,2017,8,0,0.0
28059,2018,15,0,0.0
28059,2019,19,0,0.0
28059,2020,8,0,0.0
28059,2021,12,0,0.0
28059,2022,9,0,0.0
28059,2023,14,0,0.0
28059,2024,11,0,0.0
28061,2016,60,0,0.0
28061,2017,44,0,0.0
28061,2018,64,1,1.5625
28061,2019,63,0,0.0
28061,2020,41,0,0.0
28061,2021,50,0,0.0
28061,2022,50,0,0.0
28061,2023,37,0,0.0
28061,2024,34,0,0.0
28065,2016,136,0,0.0
28065,2017,149,1,0.6711
28065,2018,126,1,0.7937
28065,2019,139,0,0.0
28065,2020,89,1,1.1236
28065,2021,111,2,1.8018
28065,2022,161,0,0.0
28065,2023,173,1,0.578
28065,2024,143,1,0.6993
28066,2016,8,0,0.0
28066,2017,5,0,0.0
28066,2018,10,0,0.0
28066,2019,6,1,16.6667
28066,2020,3,1,33.3333
28066,2021,8,0,0.0
28066,2022,8,0,0.0
28066,2023,8,0,0.0
28066,2024,11,0,0.0
28067,2016,8,0,0.0
28067,2017,16,0,0.0
28067,2018,8,0,0.0
28067,2019,5,0,0.0
28067,2020,11,0,0.0
28067,2021,6,0,0.0
28067,2022,9,0,0.0
28067,2023,12,0,0.0
28067,2024,5,0,0.0
28068,2016,23,0,0.0
28068,2017,29,0,0.0
28068,2018,29,0,0.0
28068,2019,30,0,0.0
28068,2020,18,0,0.0
28068,2021,20,0,0.0
28068,2022,22,1,4.5455
28068,2023,19,0,0.0
28068,2024,24,0,0.0
28072,2016,6,1,16.6667
28072,2017,7,0,0.0
28072,2018,5,0,0.0
28072,2019,6,0,0.0
28072,2020,3,1,33.3333
28072,2021,8,0,0.0
28072,2022,3,0,0.0
28072,2023,4,0,0.0
28072,2024,6,1,16.6667
28073,2016,8,0,0.0
28073,2017,10,0,0.0
28073,2018,12,1,8.3333
28073,2019,9,0,0.0
28073,2020,8,0,0.0
28073,2021,8,0,0.0
28073,2022,18,0,0.0
28073,2023,11,0,0.0
28073,2024,20,0,0.0
28074,2016,63,0,0.0
28074,2017,81,1,1.2346
28074,2018,82,0,0.0
28074,2019,104,2,1.9231
28074,2020,56,1,1.7857
28074,2021,83,4,4.8193
28074,2022,84,0,0.0
28074,2023,77,1,1.2987
28074,2024,82,1,1.2195
28075,2016,12,0,0.0
28075,2017,16,1,6.25
28075,2018,17,0,0.0
28075,2019,11,0,0.0
28075,2020,15,0,0.0
28075,2021,18,1,5.5556
