SECCION_ID,YEAR,n_accidents,n_fatal,n_serious,n_victims_30d,n_vehicles_inv,imd_mean,vehicle_passages,ACI,aci_mean,aci_std,threshold_TCA,IS_TCA,ACI_rank_year,CARRETERA
A-1_30,2022,1,0,0,3,4,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_30,2023,1,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_30,2024,1,0,0,3,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_31,2017,1,0,0,1,2,,,,,,,0,1,A-1
A-1_31,2019,1,0,0,2,3,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_31,2021,3,0,0,5,6,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_31,2022,2,0,0,3,7,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_32,2016,2,0,0,3,6,,,,,,,0,1,A-1
A-1_32,2017,1,0,0,1,1,,,,,,,0,1,A-1
A-1_32,2018,3,0,0,4,5,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_32,2019,1,0,0,2,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_32,2021,1,0,0,1,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_32,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_32,2023,2,0,0,4,6,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_32,2024,2,0,0,2,4,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_33,2016,2,1,0,3,8,,,,,,,0,1,A-1
A-1_33,2017,3,0,0,5,10,,,,,,,0,1,A-1
A-1_33,2018,1,0,0,3,1,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_33,2021,1,0,0,1,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_33,2022,2,0,0,2,4,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_33,2023,1,0,0,1,2,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_33,2024,1,0,0,1,1,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_34,2016,5,0,0,9,10,,,,,,,0,1,A-1
A-1_34,2017,5,0,0,12,23,,,,,,,0,1,A-1
A-1_34,2018,4,0,0,7,10,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_34,2019,3,0,0,7,8,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_34,2020,2,0,0,2,5,,,,,,,0,1,A-1
A-1_34,2021,2,0,0,7,7,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_34,2022,4,0,0,9,14,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_34,2023,3,0,0,7,7,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_34,2024,6,0,1,15,15,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_35,2017,1,0,0,1,1,,,,,,,0,1,A-1
A-1_35,2018,1,0,0,1,6,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_35,2021,1,0,0,1,1,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_35,2022,1,0,0,1,1,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_35,2023,1,0,0,3,2,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_35,2024,2,0,0,5,5,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_36,2016,2,1,0,5,4,,,,,,,0,1,A-1
A-1_36,2018,1,0,0,2,2,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_36,2019,1,0,0,1,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_36,2020,1,0,0,1,1,,,,,,,0,1,A-1
A-1_36,2021,1,0,0,2,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_36,2022,1,0,0,2,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_36,2023,1,0,0,1,1,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_36,2024,1,0,1,2,2,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_37,2016,4,0,0,7,13,,,,,,,0,1,A-1
A-1_37,2017,3,1,0,6,7,,,,,,,0,1,A-1
A-1_37,2018,3,0,0,5,7,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_37,2020,1,0,0,4,4,,,,,,,0,1,A-1
A-1_37,2024,1,0,1,1,3,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_38,2016,4,0,0,10,9,,,,,,,0,1,A-1
A-1_38,2017,3,0,1,4,3,,,,,,,0,1,A-1
A-1_38,2019,3,0,0,3,3,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_38,2020,1,0,0,1,1,,,,,,,0,1,A-1
A-1_38,2021,2,0,0,4,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_38,2022,4,0,1,5,8,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_38,2023,2,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_38,2024,5,0,0,11,14,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_39,2016,2,0,0,11,11,,,,,,,0,1,A-1
A-1_39,2017,2,0,0,3,4,,,,,,,0,1,A-1
A-1_39,2018,1,0,0,4,2,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_39,2020,1,0,0,3,2,,,,,,,0,1,A-1
A-1_39,2021,2,0,0,2,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_39,2022,1,0,0,1,4,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_39,2023,2,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
