CARRETERA,total_accidents,total_fatal_30d,total_serious_30d,total_victims_30d,total_bad_surface,total_proxy_substance,n_TCA_sections,ASI_pct,RCII_pct,RADAR_proxy_pct,dominant_cause
ABRIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABTAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUELA LUISA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUELOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUNDIO GARCIA ROMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AC/DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIAS (DE LAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIAS (LAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACADEMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACADEMIA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACADEMOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACAMAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACANTILADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACANTITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACANTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACAPULCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACAPULCO (SAN RAMÓN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACARREADORES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACCESO A ALARILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACCESO A LA ESTACION DE O'DONNELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACCESO AVENIDA ANDALUCIA PRIMERO DE OCTUBRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACCESO TORREJON DESDE NACIONAL II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBEDA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBEDA (LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBO (EL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBOS (LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEBUCHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEDINOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEDINOS (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEITERA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEITUNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEITUNA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEJOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACENTEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEQUIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACEQUIA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
