CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-425,2018,5,0,0,0.0,0.0,False
M-425,2019,10,0,0,5.0,100.0,False
M-425,2020,6,0,0,-4.0,-40.0,True
M-425,2021,6,0,0,0.0,0.0,True
M-425,2022,4,0,0,-2.0,-33.33,False
M-425,2023,5,0,1,1.0,25.0,False
M-425,2024,6,0,0,1.0,20.0,False
M-45,2016,58,3,2,,,False
M-45,2017,66,6,3,8.0,13.79,False
M-45,2018,55,0,2,-11.0,-16.67,False
M-45,2019,67,3,10,12.0,21.82,False
M-45,2020,40,3,4,-27.0,-40.3,True
M-45,2021,51,2,3,11.0,27.5,True
M-45,2022,60,3,3,9.0,17.65,False
M-45,2023,78,1,6,18.0,30.0,False
M-45,2024,80,2,4,2.0,2.56,False
M-50,2016,219,4,5,,,False
M-50,2017,187,3,4,-32.0,-14.61,False
M-50,2018,193,4,6,6.0,3.21,False
M-50,2019,185,14,10,-8.0,-4.15,False
M-50,2020,90,3,5,-95.0,-51.35,True
M-50,2021,196,7,2,106.0,117.78,True
M-50,2022,190,2,8,-6.0,-3.06,False
M-50,2023,221,8,14,31.0,16.32,False
M-50,2024,157,3,10,-64.0,-28.96,False
M-500,2016,11,0,0,,,False
M-500,2017,7,0,2,-4.0,-36.36,False
M-500,2018,4,0,0,-3.0,-42.86,False
M-500,2019,4,0,0,0.0,0.0,False
M-500,2020,4,0,0,0.0,0.0,True
M-500,2021,7,0,0,3.0,75.0,True
M-500,2022,5,0,0,-2.0,-28.57,False
M-500,2023,3,0,0,-2.0,-40.0,False
M-500,2024,3,0,0,0.0,0.0,False
M-501,2016,69,6,9,,,False
M-501,2017,56,6,8,-13.0,-18.84,False
M-501,2018,59,0,6,3.0,5.36,False
M-501,2019,65,3,6,6.0,10.17,False
M-501,2020,34,1,4,-31.0,-47.69,True
M-501,2021,40,1,7,6.0,17.65,True
M-501,2022,58,6,2,18.0,45.0,False
M-501,2023,51,1,3,-7.0,-12.07,False
M-501,2024,53,2,5,2.0,3.92,False
M-501A,2016,3,0,0,,,False
M-501A,2019,2,0,1,-1.0,-33.33,False
M-501A,2020,1,0,0,-1.0,-50.0,True
M-502,2016,4,0,0,,,False
M-502,2017,12,0,0,8.0,200.0,False
M-502,2018,10,0,0,-2.0,-16.67,False
M-502,2019,9,0,0,-1.0,-10.0,False
M-502,2020,7,0,1,-2.0,-22.22,True
M-502,2021,13,0,1,6.0,85.71,True
M-502,2022,11,1,0,-2.0,-15.38,False
M-502,2023,8,0,0,-3.0,-27.27,False
M-502,2024,10,0,0,2.0,25.0,False
M-503,2016,68,0,3,,,False
M-503,2017,60,1,3,-8.0,-11.76,False
M-503,2018,81,2,3,21.0,35.0,False
M-503,2019,66,1,1,-15.0,-18.52,False
M-503,2020,53,2,1,-13.0,-19.7,True
