CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-2,Colisión lateral,2020,9,100,9.0
A-2,Colisión lateral,2021,18,135,13.3333
A-2,Colisión lateral,2022,29,203,14.2857
A-2,Colisión lateral,2023,20,168,11.9048
A-2,Colisión lateral,2024,11,106,10.3774
A-2,Colisión múltiple,2016,22,181,12.1547
A-2,Colisión múltiple,2017,31,166,18.6747
A-2,Colisión múltiple,2018,43,183,23.4973
A-2,Colisión múltiple,2019,22,151,14.5695
A-2,Colisión múltiple,2020,8,100,8.0
A-2,Colisión múltiple,2021,29,135,21.4815
A-2,Colisión múltiple,2022,45,203,22.1675
A-2,Colisión múltiple,2023,38,168,22.619
A-2,Colisión múltiple,2024,21,106,19.8113
A-2,Colisión por alcance,2016,73,181,40.3315
A-2,Colisión por alcance,2017,68,166,40.9639
A-2,Colisión por alcance,2018,54,183,29.5082
A-2,Colisión por alcance,2019,60,151,39.7351
A-2,Colisión por alcance,2020,40,100,40.0
A-2,Colisión por alcance,2021,55,135,40.7407
A-2,Colisión por alcance,2022,60,203,29.5567
A-2,Colisión por alcance,2023,60,168,35.7143
A-2,Colisión por alcance,2024,43,106,40.566
A-2,Otro tipo de accidente,2016,1,181,0.5525
A-2,Otro tipo de accidente,2017,1,166,0.6024
A-2,Otro tipo de accidente,2019,1,151,0.6623
A-2,Otro tipo de accidente,2020,1,100,1.0
A-2,Otro tipo de accidente,2022,1,203,0.4926
A-2,Otro tipo de accidente,2024,1,106,0.9434
A-2,Salida de la vía por la derecha con colisión,2016,18,181,9.9448
A-2,Salida de la vía por la derecha con colisión,2017,4,166,2.4096
A-2,Salida de la vía por la derecha con colisión,2018,9,183,4.918
A-2,Salida de la vía por la derecha con colisión,2019,3,151,1.9868
A-2,Salida de la vía por la derecha con colisión,2020,8,100,8.0
A-2,Salida de la vía por la derecha con colisión,2021,9,135,6.6667
A-2,Salida de la vía por la derecha con colisión,2022,10,203,4.9261
A-2,Salida de la vía por la derecha con colisión,2023,9,168,5.3571
A-2,Salida de la vía por la derecha con colisión,2024,2,106,1.8868
A-2,Salida de la vía por la derecha con despeñamiento,2017,1,166,0.6024
A-2,Salida de la vía por la derecha con vuelco,2016,1,181,0.5525
A-2,Salida de la vía por la derecha con vuelco,2017,4,166,2.4096
A-2,Salida de la vía por la derecha con vuelco,2018,4,183,2.1858
A-2,Salida de la vía por la derecha con vuelco,2019,2,151,1.3245
