SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
M-528_3,2024,M-528,Salida de la vía por la derecha otro tipo,1
M-528_4,2016,M-528,Colisión múltiple,1
M-528_4,2018,M-528,Salida de la vía por la derecha con vuelco,1
M-528_5,2017,M-528,Colisión por alcance,1
M-530_0,2016,M-530,Salida de la vía por la derecha con vuelco,1
M-530_1,2016,M-530,Salida de la vía por la derecha con vuelco,1
M-530_1,2024,M-530,Atropello a animales,1
M-530_4,2019,M-530,Atropello a personas,1
M-530_5,2019,M-530,Salida de la vía por la derecha otro tipo,1
M-530_6,2016,M-530,Salida de la vía por la izquierda con despeñamiento,1
M-530_6,2020,M-530,Salida de la vía por la derecha otro tipo,1
M-530_6,2024,M-530,Salida de la vía por la derecha otro tipo,2
M-530_7,2021,M-530,Salida de la vía por la izquierda con vuelco,1
M-530_7,2023,M-530,"Salida de la vía por la izquierda, otro tipo",1
M-530_9,2024,M-530,Otro tipo de accidente,1
M-531_1,2021,M-531,Colisión frontal,1
M-531_2,2017,M-531,Salida de la vía por la derecha otro tipo,1
M-531_7,2016,M-531,Salida de la vía por la izquierda con vuelco,1
M-531_8,2017,M-531,Salida de la vía por la derecha con vuelco,1
M-532_1,2017,M-532,Salida de la vía por la derecha con vuelco,1
M-532_1,2023,M-532,Salida de la vía por la derecha con colisión,1
M-532_11,2019,M-532,Salida de la vía por la izquierda con vuelco,1
M-532_2,2016,M-532,Salida de la vía por la derecha con vuelco,1
M-532_3,2020,M-532,Salida de la vía por la derecha con colisión,1
M-532_6,2024,M-532,Colisión fronto-lateral,1
M-532_8,2023,M-532,Colisión fronto-lateral,1
M-532_8,2024,M-532,Salida de la vía por la derecha otro tipo,1
M-533_0,2016,M-533,Salida de la vía por la derecha otro tipo,1
M-533_0,2018,M-533,Salida de la vía por la derecha otro tipo,1
M-533_0,2019,M-533,Salida de la vía por la izquierda con vuelco,2
M-533_0,2020,M-533,Colisión fronto-lateral,1
M-533_0,2022,M-533,Colisión lateral,1
M-533_0,2023,M-533,Colisión frontal,1
M-533_1,2016,M-533,Salida de la vía por la derecha con colisión,1
M-533_1,2017,M-533,Salida de la vía por la derecha otro tipo,1
M-533_1,2020,M-533,Salida de la vía por la derecha otro tipo,1
M-533_1,2022,M-533,Otro tipo de accidente,1
M-533_1,2024,M-533,Colisión frontal,1
M-533_10,2017,M-533,Salida de la vía por la derecha otro tipo,1
M-533_10,2021,M-533,Salida de la vía por la derecha otro tipo,1
M-533_2,2016,M-533,Salida de la vía por la derecha con colisión,2
M-533_2,2017,M-533,Salida de la vía por la derecha con vuelco,1
M-533_2,2018,M-533,Salida de la vía por la derecha con colisión,1
M-533_2,2019,M-533,Atropello a animales,1
M-533_2,2021,M-533,Salida de la vía por la derecha con vuelco,1
M-533_2,2024,M-533,Salida de la vía por la derecha con vuelco,1
M-533_4,2016,M-533,Atropello a animales,1
M-533_4,2017,M-533,Salida de la vía por la derecha con colisión,1
M-533_4,2020,M-533,Colisión fronto-lateral,1
